,Wavelength (nm)
531,298.605
532,298.858
533,299.112
534,299.365
535,299.618
536,299.871
537,300.124
538,300.377
539,300.631
540,300.884
541,301.137
542,301.39
543,301.643
544,301.896
545,302.149
546,302.402
547,302.655
548,302.908
549,303.161
550,303.414
551,303.667
552,303.92
553,304.173
554,304.426
555,304.679
556,304.932
557,305.185
558,305.438
559,305.691
560,305.944
561,306.196
562,306.449
563,306.702
564,306.955
565,307.208
566,307.461
567,307.713
568,307.966
569,308.219
570,308.472
571,308.725
572,308.977
573,309.23
574,309.483
575,309.735
576,309.988
577,310.241
578,310.494
579,310.746
580,310.999
581,311.252
582,311.504
583,311.757
584,312.009
585,312.262
586,312.515
587,312.767
588,313.02
589,313.272
590,313.525
591,313.777
592,314.03
593,314.282
594,314.535
595,314.787
596,315.04
597,315.292
598,315.545
599,315.797
600,316.05
601,316.302
602,316.554
603,316.807
604,317.059
605,317.312
606,317.564
607,317.816
608,318.069
609,318.321
610,318.573
611,318.826
612,319.078
613,319.33
614,319.582
615,319.835
616,320.087
617,320.339
618,320.591
619,320.844
620,321.096
621,321.348
622,321.6
623,321.852
624,322.104
625,322.357
626,322.609
627,322.861
628,323.113
629,323.365
630,323.617
631,323.869
632,324.121
633,324.373
634,324.625
635,324.877
636,325.129
637,325.381
638,325.633
639,325.885
640,326.137
641,326.389
642,326.641
643,326.893
644,327.145
645,327.397
646,327.649
647,327.901
648,328.152
649,328.404
650,328.656
651,328.908
652,329.16
653,329.412
654,329.663
655,329.915
656,330.167
657,330.419
658,330.67
659,330.922
660,331.174
661,331.426
662,331.677
663,331.929
664,332.181
665,332.432
666,332.684
667,332.935
668,333.187
669,333.439
670,333.69
671,333.942
672,334.193
673,334.445
674,334.697
675,334.948
676,335.2
677,335.451
678,335.703
679,335.954
680,336.206
681,336.457
682,336.708
683,336.96
684,337.211
685,337.463
686,337.714
687,337.966
688,338.217
689,338.468
690,338.72
691,338.971
692,339.222
693,339.474
694,339.725
695,339.976
696,340.227
697,340.479
698,340.73
699,340.981
700,341.232
701,341.484
702,341.735
703,341.986
704,342.237
705,342.488
706,342.739
707,342.991
708,343.242
709,343.493
710,343.744
711,343.995
712,344.246
713,344.497
714,344.748
715,344.999
716,345.25
717,345.501
718,345.752
719,346.003
720,346.254
721,346.505
722,346.756
723,347.007
724,347.258
725,347.509
726,347.76
727,348.011
728,348.262
729,348.512
730,348.763
731,349.014
732,349.265
733,349.516
734,349.766
735,350.017
736,350.268
737,350.519
738,350.77
739,351.02
740,351.271
741,351.522
742,351.772
743,352.023
744,352.274
745,352.524
746,352.775
747,353.026
748,353.276
749,353.527
750,353.777
751,354.028
752,354.279
753,354.529
754,354.78
755,355.03
756,355.281
757,355.531
758,355.782
759,356.032
760,356.283
761,356.533
762,356.783
763,357.034
764,357.284
765,357.535
766,357.785
767,358.035
768,358.286
769,358.536
770,358.786
771,359.037
772,359.287
773,359.537
774,359.788
775,360.038
776,360.288
777,360.538
778,360.789
779,361.039
780,361.289
781,361.539
782,361.789
783,362.039
784,362.29
785,362.54
786,362.79
787,363.04
788,363.29
789,363.54
790,363.79
791,364.04
792,364.29
793,364.54
794,364.79
795,365.04
796,365.29
797,365.54
798,365.79
799,366.04
800,366.29
801,366.54
802,366.79
803,367.04
804,367.29
805,367.539
806,367.789
807,368.039
808,368.289
809,368.539
810,368.789
811,369.038
812,369.288
813,369.538
814,369.788
815,370.037
816,370.287
817,370.537
818,370.786
819,371.036
820,371.286
821,371.535
822,371.785
823,372.035
824,372.284
825,372.534
826,372.783
827,373.033
828,373.283
829,373.532
830,373.782
831,374.031
832,374.281
833,374.53
834,374.78
835,375.029
836,375.278
837,375.528
838,375.777
839,376.027
840,376.276
841,376.525
842,376.775
843,377.024
844,377.273
845,377.523
846,377.772
847,378.021
848,378.271
849,378.52
850,378.769
851,379.018
852,379.268
853,379.517
854,379.766
855,380.015
856,380.264
857,380.513
858,380.763
859,381.012
860,381.261
861,381.51
862,381.759
863,382.008
864,382.257
865,382.506
866,382.755
867,383.004
868,383.253
869,383.502
870,383.751
871,384.0
872,384.249
873,384.498
874,384.747
875,384.996
876,385.245
877,385.493
878,385.742
879,385.991
880,386.24
881,386.489
882,386.738
883,386.986
884,387.235
885,387.484
886,387.733
887,387.981
888,388.23
889,388.479
890,388.727
891,388.976
892,389.225
893,389.473
894,389.722
895,389.971
896,390.219
897,390.468
898,390.716
899,390.965
900,391.214
901,391.462
902,391.711
903,391.959
904,392.208
905,392.456
906,392.704
907,392.953
908,393.201
909,393.45
910,393.698
911,393.947
912,394.195
913,394.443
914,394.692
915,394.94
916,395.188
917,395.437
918,395.685
919,395.933
920,396.181
921,396.43
922,396.678
923,396.926
