,Mg Concentration,Mg Error1s,Al Concentration,Al Error1s,Si Concentration,Si Error1s,P Concentration,P Error1s,S Concentration,S Error1s,Cl Concentration,Cl Error1s,K Concentration,K Error1s,Ca Concentration,Ca Error1s,Ti Concentration,Ti Error1s,V Concentration,V Error1s,Cr Concentration,Cr Error1s,Mn Concentration,Mn Error1s,Fe Concentration,Fe Error1s,Co Concentration,Co Error1s,Ni Concentration,Ni Error1s,Cu Concentration,Cu Error1s,Zn Concentration,Zn Error1s,As Concentration,As Error1s,Se Concentration,Se Error1s,Rb Concentration,Rb Error1s,Sr Concentration,Sr Error1s,Y Concentration,Y Error1s,Zr Concentration,Zr Error1s,Nb Concentration,Nb Error1s,Mo Concentration,Mo Error1s,Ag Concentration,Ag Error1s,Cd Concentration,Cd Error1s,Sn Concentration,Sn Error1s,Sb Concentration,Sb Error1s,Ba Concentration,Ba Error1s,La Concentration,La Error1s,Ce Concentration,Ce Error1s,Pr Concentration,Pr Error1s,Nd Concentration,Nd Error1s,W Concentration,W Error1s,Au Concentration,Au Error1s,Hg Concentration,Hg Error1s,Pb Concentration,Pb Error1s,Bi Concentration,Bi Error1s,Th Concentration,Th Error1s,U Concentration,U Error1s,LE Concentration,LE Error1s
7_m02,<LOD,32076.0,<LOD,6487.0,<LOD,3522.0,<LOD,573.0,<LOD,1100.0,<LOD,1894.0,<LOD,5139.0,<LOD,1482.0,<LOD,282.0,<LOD,81.0,90,26.0,127,25.0,459,36.0,77,7.0,<LOD,29.0,949908,512.0,18366,127.0,<LOD,4.0,<LOD,2.0,<LOD,1.0,18,6.0,63,9.0,<LOD,3.0,<LOD,2.0,276,12.0,94,24.0,<LOD,6.0,25133,133.0,<LOD,10.0,<LOD,2937.0,<LOD,5250.0,<LOD,6589.0,1098,272.0,1606,370.0,<LOD,27.0,66,19.0,<LOD,9.0,464,25.0,2079,198.0,<LOD,16.0,<LOD,3.0,<LOD,1296.0
7_m03,21766,5387.0,7932,839.0,29245,399.0,259,43.0,5301,79.0,9162,120.0,69988,653.0,1550,45.0,<LOD,835.0,<LOD,81.0,58,25.0,143,24.0,430,34.0,76,7.0,211,26.0,820487,4676.0,29843,299.0,<LOD,4.0,<LOD,2.0,<LOD,1.0,<LOD,1.0,46,7.0,<LOD,3.0,<LOD,2.0,205,9.0,61,17.0,<LOD,6.0,549,37.0,193,45.0,<LOD,4353.0,<LOD,7578.0,<LOD,9717.0,<LOD,15410.0,<LOD,21058.0,<LOD,32.0,<LOD,3.0,<LOD,10.0,548,23.0,1871,153.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
7_m04,<LOD,34079.0,<LOD,6895.0,<LOD,3865.0,<LOD,646.0,<LOD,1085.0,<LOD,1787.0,<LOD,5449.0,<LOD,1482.0,<LOD,293.0,<LOD,88.0,112,28.0,184,25.0,886,39.0,97,8.0,140,32.0,948386,433.0,17558,129.0,<LOD,5.0,<LOD,2.0,<LOD,1.0,25,6.0,67,9.0,<LOD,3.0,53,12.0,255,12.0,<LOD,0.0,<LOD,7.0,27639,143.0,<LOD,11.0,<LOD,2947.0,<LOD,5121.0,<LOD,6423.0,<LOD,9893.0,1236,355.0,<LOD,27.0,<LOD,3.0,<LOD,10.0,841,33.0,2425,193.0,<LOD,15.0,<LOD,3.0,<LOD,1380.0
7_m05,<LOD,31775.0,8814,936.0,31518,321.0,281,46.0,3789,62.0,1510,75.0,85403,233.0,<LOD,1246.0,<LOD,826.0,<LOD,84.0,46,25.0,200,25.0,702,37.0,110,8.0,291,28.0,829342,888.0,33620,141.0,<LOD,5.0,<LOD,2.0,<LOD,1.0,14,5.0,42,7.0,<LOD,3.0,<LOD,2.0,214,9.0,70,17.0,<LOD,6.0,881,41.0,<LOD,10.0,206,61.0,<LOD,8842.0,<LOD,11421.0,<LOD,17758.0,<LOD,23060.0,<LOD,35.0,<LOD,3.0,<LOD,11.0,883,29.0,1954,152.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
7_m06,<LOD,38017.0,13078,868.0,38174,348.0,237,47.0,12468,91.0,12613,105.0,58713,200.0,2629,46.0,<LOD,954.0,<LOD,85.0,51,26.0,214,24.0,1280,40.0,121,8.0,1289,35.0,824357,849.0,30955,136.0,<LOD,4.0,<LOD,2.0,<LOD,1.0,17,5.0,44,7.0,<LOD,3.0,<LOD,2.0,217,9.0,58,16.0,<LOD,6.0,548,38.0,221,47.0,<LOD,4343.0,354,108.0,<LOD,9835.0,<LOD,15385.0,<LOD,20689.0,<LOD,34.0,<LOD,3.0,<LOD,11.0,486,22.0,1755,152.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
7_m07,19467,5822.0,10305,900.0,30170,426.0,<LOD,659.0,3623,71.0,4815,95.0,66805,649.0,1644,48.0,<LOD,925.0,<LOD,84.0,68,27.0,209,31.0,759,37.0,1395,21.0,190483,1696.0,665705,4324.0,<LOD,47.0,146,15.0,37,7.0,<LOD,1.0,<LOD,1.0,55,9.0,<LOD,4.0,54,8.0,140,9.0,102,18.0,<LOD,6.0,180,36.0,<LOD,10.0,<LOD,4715.0,<LOD,8156.0,<LOD,10495.0,<LOD,16104.0,1119,272.0,<LOD,15.0,67,13.0,<LOD,6.0,62,12.0,1196,128.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m08,<LOD,34225.0,11512,922.0,31450,327.0,<LOD,625.0,5197,66.0,3896,80.0,73506,217.0,1929,48.0,<LOD,893.0,<LOD,79.0,81,28.0,164,31.0,801,38.0,1170,16.0,170819,343.0,696063,787.0,<LOD,49.0,358,19.0,34,7.0,<LOD,1.0,24,4.0,47,8.0,<LOD,4.0,77,8.0,154,9.0,212,20.0,<LOD,6.0,<LOD,8.0,<LOD,10.0,<LOD,4927.0,<LOD,8735.0,<LOD,11190.0,<LOD,16678.0,<LOD,23021.0,<LOD,15.0,54,14.0,<LOD,7.0,129,14.0,1153,133.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m09,<LOD,33210.0,11862,795.0,35657,322.0,370,44.0,6746,68.0,18562,107.0,54113,181.0,2919,43.0,<LOD,920.0,<LOD,83.0,58,25.0,129,24.0,508,34.0,96,7.0,384,28.0,835050,783.0,29714,129.0,<LOD,4.0,<LOD,2.0,<LOD,1.0,16,4.0,42,7.0,<LOD,3.0,<LOD,2.0,230,9.0,102,18.0,<LOD,6.0,631,38.0,<LOD,10.0,<LOD,4589.0,<LOD,7894.0,<LOD,10106.0,<LOD,16175.0,<LOD,21483.0,<LOD,32.0,<LOD,3.0,<LOD,10.0,653,24.0,2061,157.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
7_m10,<LOD,32566.0,<LOD,6357.0,<LOD,4226.0,<LOD,758.0,<LOD,1512.0,<LOD,2432.0,<LOD,4504.0,<LOD,2001.0,<LOD,263.0,<LOD,83.0,105,25.0,103,25.0,1625,41.0,63,8.0,747,34.0,950186,319.0,30808,139.0,553,50.0,39,13.0,<LOD,1.0,40,7.0,48,10.0,<LOD,3.0,<LOD,2.0,269,13.0,331,27.0,<LOD,6.0,9139,90.0,196,64.0,<LOD,3936.0,<LOD,6657.0,690,165.0,<LOD,13326.0,<LOD,17865.0,<LOD,33.0,<LOD,3.0,<LOD,11.0,2486,53.0,2508,204.0,<LOD,16.0,<LOD,3.0,<LOD,1300.0
7_m11,<LOD,30936.0,<LOD,6632.0,<LOD,3688.0,<LOD,601.0,<LOD,1106.0,<LOD,2212.0,<LOD,5135.0,<LOD,1338.0,<LOD,276.0,<LOD,82.0,101,24.0,194,23.0,1208,38.0,105,7.0,817,34.0,952310,338.0,30300,137.0,322,39.0,49,11.0,<LOD,1.0,24,6.0,60,10.0,<LOD,3.0,59,14.0,307,12.0,188,24.0,<LOD,6.0,7792,84.0,301,62.0,266,74.0,487,122.0,575,159.0,<LOD,13622.0,<LOD,18233.0,<LOD,32.0,<LOD,3.0,<LOD,10.0,1455,41.0,2977,202.0,<LOD,16.0,<LOD,3.0,<LOD,1241.0
