,Mg Concentration,Mg Error1s,Al Concentration,Al Error1s,Si Concentration,Si Error1s,P Concentration,P Error1s,S Concentration,S Error1s,Cl Concentration,Cl Error1s,K Concentration,K Error1s,Ca Concentration,Ca Error1s,Ti Concentration,Ti Error1s,V Concentration,V Error1s,Cr Concentration,Cr Error1s,Mn Concentration,Mn Error1s,Fe Concentration,Fe Error1s,Co Concentration,Co Error1s,Ni Concentration,Ni Error1s,Cu Concentration,Cu Error1s,Zn Concentration,Zn Error1s,As Concentration,As Error1s,Se Concentration,Se Error1s,Rb Concentration,Rb Error1s,Sr Concentration,Sr Error1s,Y Concentration,Y Error1s,Zr Concentration,Zr Error1s,Nb Concentration,Nb Error1s,Mo Concentration,Mo Error1s,Ag Concentration,Ag Error1s,Cd Concentration,Cd Error1s,Sn Concentration,Sn Error1s,Sb Concentration,Sb Error1s,Ba Concentration,Ba Error1s,La Concentration,La Error1s,Ce Concentration,Ce Error1s,Pr Concentration,Pr Error1s,Nd Concentration,Nd Error1s,W Concentration,W Error1s,Au Concentration,Au Error1s,Hg Concentration,Hg Error1s,Pb Concentration,Pb Error1s,Bi Concentration,Bi Error1s,Th Concentration,Th Error1s,U Concentration,U Error1s,LE Concentration,LE Error1s
7_m22,<LOD,33708.0,12112,846.0,30625,326.0,153,46.0,6425,72.0,37253,149.0,53544,196.0,309,41.0,<LOD,944.0,<LOD,86.0,109,29.0,106,33.0,623,37.0,87,10.0,168200,320.0,555084,651.0,128908,294.0,<LOD,7.0,<LOD,2.0,<LOD,1.0,<LOD,1.0,<LOD,2.0,<LOD,3.0,<LOD,3.0,271,10.0,133,18.0,<LOD,6.0,2403,49.0,352,48.0,<LOD,4772.0,370,107.0,<LOD,10662.0,<LOD,16601.0,<LOD,22393.0,<LOD,69.0,<LOD,4.0,<LOD,20.0,1913,41.0,933,117.0,<LOD,12.0,<LOD,3.0,<LOD,0.0
7_m23,<LOD,32218.0,12028,863.0,29971,312.0,212,45.0,5239,66.0,20915,116.0,65990,204.0,1651,45.0,<LOD,896.0,<LOD,82.0,72,27.0,105,31.0,516,36.0,228,10.0,175156,337.0,684974,751.0,<LOD,49.0,<LOD,2.0,38,7.0,<LOD,1.0,20,4.0,41,8.0,<LOD,4.0,79,8.0,177,9.0,120,17.0,<LOD,6.0,251,36.0,<LOD,10.0,<LOD,4675.0,<LOD,7955.0,<LOD,10369.0,747,210.0,<LOD,21634.0,<LOD,16.0,51,12.0,<LOD,7.0,35,11.0,1155,131.0,<LOD,14.0,<LOD,3.0,<LOD,0.0
7_m24,<LOD,33702.0,<LOD,6633.0,<LOD,4002.0,<LOD,682.0,<LOD,1229.0,<LOD,2537.0,<LOD,5127.0,<LOD,1671.0,<LOD,279.0,<LOD,83.0,98,26.0,143,25.0,464,36.0,97,8.0,883,36.0,944159,270.0,31242,143.0,<LOD,3.0,<LOD,2.0,<LOD,1.0,34,6.0,63,8.0,<LOD,3.0,44,14.0,263,12.0,77,22.0,<LOD,6.0,19799,123.0,<LOD,11.0,<LOD,3317.0,<LOD,5890.0,<LOD,7453.0,<LOD,11566.0,<LOD,15534.0,<LOD,33.0,<LOD,3.0,<LOD,11.0,106,16.0,2431,196.0,<LOD,15.0,<LOD,3.0,<LOD,1337.0
7_m25,<LOD,35236.0,36065,990.0,48414,432.0,491,59.0,2400,83.0,34214,176.0,26906,208.0,22510,93.0,12130,341.0,<LOD,152.0,62,31.0,158,29.0,2116,51.0,75,9.0,1798,44.0,804550,1018.0,1085,95.0,<LOD,3.0,158,12.0,<LOD,1.0,26,6.0,54,7.0,<LOD,3.0,69,9.0,146,10.0,109,19.0,<LOD,8.0,310,43.0,<LOD,14.0,2879,97.0,1433,125.0,<LOD,8506.0,<LOD,13250.0,<LOD,17511.0,<LOD,22.0,85,16.0,<LOD,9.0,116,16.0,1566,135.0,<LOD,15.0,<LOD,4.0,<LOD,0.0
7_m26,<LOD,31880.0,11838,907.0,30377,324.0,<LOD,585.0,3600,62.0,6529,88.0,74410,218.0,<LOD,1309.0,<LOD,865.0,<LOD,85.0,113,30.0,807,37.0,2171,45.0,758,14.0,172280,335.0,559819,682.0,130150,303.0,<LOD,7.0,<LOD,2.0,<LOD,1.0,<LOD,1.0,49,10.0,<LOD,3.0,<LOD,3.0,251,10.0,191,22.0,<LOD,6.0,2442,50.0,244,50.0,<LOD,4277.0,<LOD,7594.0,<LOD,9597.0,<LOD,15450.0,<LOD,20426.0,<LOD,68.0,<LOD,4.0,<LOD,20.0,1983,42.0,1229,116.0,<LOD,12.0,<LOD,3.0,<LOD,0.0
7_m27,<LOD,29949.0,10339,913.0,30347,317.0,<LOD,548.0,3053,59.0,7185,89.0,82596,227.0,<LOD,1202.0,<LOD,805.0,<LOD,80.0,88,28.0,283,32.0,1141,39.0,307,11.0,150055,310.0,622030,738.0,89405,250.0,<LOD,3.0,<LOD,2.0,<LOD,1.0,14,5.0,48,8.0,<LOD,3.0,<LOD,3.0,231,9.0,89,18.0,<LOD,6.0,289,37.0,150,47.0,<LOD,4634.0,<LOD,7907.0,<LOD,10274.0,752,209.0,<LOD,21303.0,<LOD,56.0,<LOD,3.0,<LOD,16.0,84,13.0,1209,123.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m28,<LOD,29641.0,<LOD,6231.0,<LOD,3454.0,<LOD,575.0,<LOD,984.0,<LOD,2188.0,<LOD,5004.0,<LOD,1420.0,<LOD,291.0,<LOD,86.0,110,27.0,226,25.0,542,37.0,115,8.0,487,33.0,942040,271.0,27375,140.0,<LOD,3.0,<LOD,2.0,<LOD,1.0,19,6.0,57,9.0,<LOD,3.0,<LOD,2.0,243,13.0,190,24.0,<LOD,6.0,25542,137.0,<LOD,11.0,<LOD,3076.0,<LOD,5349.0,<LOD,6627.0,<LOD,10298.0,<LOD,14114.0,<LOD,32.0,<LOD,3.0,<LOD,10.0,316,23.0,2621,192.0,<LOD,15.0,<LOD,3.0,<LOD,1356.0
7_m29,<LOD,34370.0,<LOD,6774.0,<LOD,3900.0,<LOD,642.0,<LOD,1113.0,<LOD,2261.0,<LOD,5512.0,<LOD,1553.0,<LOD,287.0,<LOD,86.0,100,26.0,220,25.0,384,35.0,110,7.0,576,34.0,944641,487.0,29898,143.0,<LOD,2.0,<LOD,2.0,<LOD,1.0,26,6.0,68,9.0,<LOD,3.0,48,14.0,289,12.0,93,21.0,<LOD,6.0,18593,121.0,203,66.0,<LOD,3446.0,<LOD,5998.0,<LOD,7722.0,795,250.0,1275,343.0,<LOD,32.0,<LOD,3.0,<LOD,10.0,71,15.0,2501,196.0,<LOD,15.0,<LOD,3.0,<LOD,1365.0
7_m30,<LOD,30166.0,<LOD,6238.0,<LOD,3324.0,<LOD,550.0,<LOD,943.0,<LOD,1860.0,<LOD,5201.0,<LOD,1344.0,<LOD,281.0,<LOD,85.0,110,27.0,<LOD,57.0,412,37.0,70,8.0,163,31.0,952979,266.0,20916,132.0,<LOD,2.0,<LOD,2.0,<LOD,1.0,18,5.0,84,9.0,<LOD,3.0,<LOD,2.0,264,12.0,<LOD,0.0,<LOD,6.0,22268,129.0,<LOD,11.0,<LOD,3186.0,<LOD,5535.0,<LOD,6767.0,<LOD,11034.0,<LOD,14820.0,<LOD,29.0,<LOD,3.0,<LOD,10.0,44,14.0,2601,196.0,<LOD,15.0,<LOD,3.0,<LOD,1339.0
7_m31,<LOD,30166.0,<LOD,6238.0,<LOD,3324.0,<LOD,550.0,<LOD,943.0,<LOD,1860.0,<LOD,5201.0,<LOD,1344.0,<LOD,281.0,<LOD,85.0,110,27.0,<LOD,57.0,412,37.0,70,8.0,163,31.0,952979,266.0,20916,132.0,<LOD,2.0,<LOD,2.0,<LOD,1.0,18,5.0,84,9.0,<LOD,3.0,<LOD,2.0,264,12.0,<LOD,0.0,<LOD,6.0,22268,129.0,<LOD,11.0,<LOD,3186.0,<LOD,5535.0,<LOD,6767.0,<LOD,11034.0,<LOD,14820.0,<LOD,29.0,<LOD,3.0,<LOD,10.0,44,14.0,2601,196.0,<LOD,15.0,<LOD,3.0,<LOD,1339.0
7_m32,<LOD,39201.0,9609,764.0,26557,289.0,<LOD,758.0,2199,50.0,1011,64.0,51785,170.0,<LOD,1522.0,<LOD,1085.0,<LOD,80.0,88,25.0,169,24.0,390,31.0,91,8.0,9449,61.0,716740,678.0,178999,301.0,<LOD,2.0,<LOD,2.0,<LOD,1.0,<LOD,1.0,64,7.0,<LOD,3.0,<LOD,4.0,444,13.0,77,19.0,<LOD,5.0,263,38.0,<LOD,9.0,<LOD,4821.0,<LOD,8336.0,<LOD,10510.0,<LOD,16710.0,<LOD,22353.0,<LOD,68.0,<LOD,3.0,<LOD,19.0,<LOD,2.0,1974,146.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m33,20866,5443.0,9465,911.0,29303,396.0,<LOD,514.0,4284,72.0,6686,104.0,88254,769.0,<LOD,1125.0,<LOD,751.0,<LOD,82.0,90,28.0,188,31.0,509,35.0,127,9.0,152078,1263.0,565496,3571.0,120906,1029.0,<LOD,2.0,<LOD,2.0,<LOD,1.0,<LOD,1.0,40,8.0,<LOD,3.0,<LOD,3.0,271,10.0,72,16.0,<LOD,6.0,206,35.0,<LOD,10.0,<LOD,5217.0,<LOD,9011.0,<LOD,11356.0,<LOD,17841.0,<LOD,24469.0,<LOD,65.0,<LOD,3.0,<LOD,19.0,<LOD,2.0,1032,114.0,<LOD,12.0,<LOD,3.0,<LOD,0.0
7_m34,<LOD,35129.0,12735,773.0,30191,314.0,618,48.0,3368,59.0,40064,148.0,38191,171.0,2310,41.0,<LOD,1001.0,<LOD,78.0,81,26.0,<LOD,2713.0,618,36.0,61,9.0,11053,68.0,684805,692.0,171925,303.0,<LOD,3.0,<LOD,2.0,<LOD,1.0,<LOD,1.0,49,7.0,<LOD,3.0,<LOD,4.0,401,12.0,91,18.0,<LOD,6.0,720,40.0,<LOD,10.0,<LOD,4531.0,<LOD,7736.0,<LOD,9785.0,825,217.0,<LOD,20829.0,<LOD,72.0,<LOD,3.0,<LOD,20.0,100,14.0,1731,133.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m35,21174,5721.0,9104,869.0,28536,409.0,<LOD,633.0,2133,55.0,581,68.0,68111,653.0,<LOD,1285.0,<LOD,894.0,<LOD,83.0,97,27.0,101,26.0,252,33.0,83,8.0,9924,113.0,690049,4357.0,167305,1490.0,<LOD,2.0,<LOD,2.0,<LOD,1.0,<LOD,1.0,52,7.0,<LOD,3.0,<LOD,4.0,382,13.0,138,19.0,<LOD,6.0,242,38.0,<LOD,10.0,<LOD,4992.0,<LOD,8840.0,<LOD,11103.0,<LOD,17568.0,<LOD,23271.0,<LOD,70.0,<LOD,3.0,<LOD,20.0,<LOD,2.0,1652,135.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m36,17704,5559.0,10477,886.0,28759,403.0,<LOD,635.0,2313,58.0,224,68.0,69146,639.0,530,43.0,<LOD,895.0,<LOD,81.0,78,27.0,1755,48.0,1998,48.0,248,11.0,208320,1748.0,655954,4086.0,<LOD,47.0,47,12.0,46,8.0,<LOD,1.0,25,5.0,40,9.0,<LOD,4.0,68,8.0,138,9.0,58,16.0,<LOD,6.0,210,37.0,140,47.0,<LOD,4732.0,<LOD,8241.0,<LOD,10536.0,<LOD,16333.0,<LOD,22092.0,374,72.0,<LOD,3.0,<LOD,7.0,43,12.0,1056,128.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m37,<LOD,38173.0,11211,866.0,30895,327.0,243,47.0,2223,58.0,3952,84.0,58387,198.0,<LOD,1452.0,<LOD,1014.0,<LOD,85.0,70,26.0,214,26.0,545,35.0,109,8.0,10369,67.0,705940,760.0,173035,324.0,<LOD,2.0,<LOD,2.0,<LOD,1.0,<LOD,1.0,56,7.0,<LOD,3.0,<LOD,4.0,421,13.0,<LOD,0.0,<LOD,6.0,170,39.0,<LOD,10.0,<LOD,4647.0,<LOD,8084.0,431,136.0,<LOD,16348.0,<LOD,22091.0,<LOD,71.0,<LOD,3.0,<LOD,20.0,<LOD,2.0,1619,140.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m38,19526,5799.0,10549,873.0,31001,433.0,<LOD,652.0,2069,58.0,1821,77.0,64895,631.0,<LOD,1335.0,<LOD,924.0,<LOD,82.0,92,27.0,187,25.0,295,32.0,108,8.0,9216,107.0,690515,4410.0,167514,1508.0,<LOD,2.0,<LOD,2.0,<LOD,1.0,<LOD,1.0,63,7.0,<LOD,3.0,<LOD,4.0,411,13.0,<LOD,0.0,<LOD,6.0,156,38.0,<LOD,10.0,<LOD,4665.0,<LOD,8204.0,<LOD,10478.0,<LOD,16334.0,<LOD,21732.0,<LOD,71.0,<LOD,3.0,<LOD,20.0,<LOD,2.0,1473,136.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m39,17622,5437.0,11374,851.0,30703,413.0,<LOD,652.0,2307,56.0,2606,76.0,59006,543.0,631,41.0,<LOD,963.0,<LOD,80.0,78,27.0,2952,57.0,1034,40.0,124,9.0,210321,1727.0,658417,4011.0,<LOD,45.0,<LOD,2.0,31,7.0,<LOD,1.0,17,5.0,<LOD,2.0,<LOD,4.0,67,8.0,153,9.0,65,17.0,<LOD,6.0,204,37.0,156,46.0,<LOD,4511.0,<LOD,7987.0,<LOD,10124.0,<LOD,16067.0,928,291.0,<LOD,15.0,38,12.0,<LOD,7.0,48,12.0,996,131.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m40,<LOD,31086.0,7923,884.0,27783,308.0,<LOD,610.0,1826,53.0,1042,71.0,77558,217.0,289,44.0,<LOD,843.0,<LOD,85.0,64,27.0,2087,46.0,1333,40.0,165,10.0,213501,385.0,663675,751.0,<LOD,47.0,<LOD,2.0,50,8.0,<LOD,1.0,22,5.0,28,9.0,<LOD,4.0,59,9.0,131,9.0,73,17.0,<LOD,6.0,196,37.0,<LOD,10.0,<LOD,4608.0,<LOD,8333.0,<LOD,10509.0,769,213.0,<LOD,21189.0,365,72.0,39,13.0,<LOD,6.0,<LOD,2.0,857,130.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m41,<LOD,34707.0,12400,856.0,30460,322.0,<LOD,678.0,2207,55.0,3051,78.0,57520,194.0,981,43.0,<LOD,993.0,<LOD,86.0,74,27.0,3178,53.0,1798,43.0,111,9.0,212136,379.0,673799,737.0,<LOD,45.0,<LOD,2.0,35,8.0,<LOD,1.0,21,5.0,42,9.0,<LOD,4.0,89,8.0,174,9.0,82,17.0,<LOD,6.0,<LOD,8.0,<LOD,10.0,188,62.0,<LOD,9191.0,452,134.0,<LOD,18455.0,<LOD,25230.0,<LOD,15.0,42,13.0,<LOD,6.0,<LOD,2.0,1048,134.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m42,18397,5339.0,10216,875.0,27647,383.0,<LOD,627.0,1778,53.0,<LOD,1483.0,72643,645.0,<LOD,1383.0,<LOD,873.0,<LOD,77.0,52,26.0,1415,43.0,1797,45.0,191,10.0,200625,1631.0,662727,3961.0,<LOD,46.0,<LOD,2.0,24,7.0,<LOD,1.0,18,5.0,29,9.0,<LOD,4.0,56,8.0,145,9.0,<LOD,0.0,<LOD,6.0,231,36.0,<LOD,10.0,193,61.0,<LOD,9377.0,<LOD,11919.0,863,212.0,<LOD,25133.0,<LOD,15.0,62,13.0,<LOD,6.0,<LOD,2.0,702,131.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m43,<LOD,31665.0,9769,879.0,28835,310.0,<LOD,634.0,1953,54.0,1074,72.0,71641,210.0,1713,47.0,<LOD,859.0,<LOD,83.0,76,28.0,2470,48.0,442,35.0,152,9.0,206372,374.0,673813,742.0,<LOD,46.0,<LOD,2.0,32,7.0,<LOD,1.0,29,5.0,50,9.0,<LOD,4.0,63,8.0,156,9.0,121,19.0,<LOD,6.0,<LOD,8.0,<LOD,10.0,<LOD,4795.0,<LOD,8548.0,<LOD,10809.0,<LOD,17168.0,<LOD,22517.0,228,68.0,42,12.0,<LOD,7.0,<LOD,2.0,819,133.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
7_m44,<LOD,31349.0,7123,322.0,14517,145.0,637,23.0,2253,30.0,24823,126.0,35414,180.0,25178,125.0,<LOD,660.0,<LOD,72.0,401,38.0,<LOD,1125.0,2385,50.0,<LOD,11.0,133,12.0,77944,339.0,127,21.0,59,6.0,<LOD,3.0,<LOD,2.0,<LOD,2.0,<LOD,2.0,<LOD,2.0,<LOD,2.0,16,2.0,541494,935.0,1989,22.0,<LOD,44.0,<LOD,7.0,285,68.0,<LOD,535.0,<LOD,673.0,750,225.0,<LOD,1395.0,<LOD,27.0,100,6.0,42,9.0,201,7.0,<LOD,12.0,71,5.0,10,3.0,264048,1133.0
7_m45,<LOD,37773.0,5974,391.0,12565,150.0,637,24.0,1615,30.0,25981,141.0,64696,313.0,<LOD,874.0,<LOD,674.0,<LOD,76.0,392,44.0,<LOD,1132.0,430,37.0,<LOD,10.0,147,13.0,57698,284.0,319,22.0,38,5.0,<LOD,3.0,<LOD,2.0,<LOD,2.0,<LOD,2.0,<LOD,2.0,<LOD,2.0,21,3.0,533875,1011.0,2423,26.0,<LOD,46.0,<LOD,8.0,425,70.0,<LOD,559.0,<LOD,720.0,843,246.0,<LOD,1457.0,<LOD,24.0,46,6.0,32,9.0,75,5.0,<LOD,12.0,87,5.0,22,3.0,291659,1209.0
8_m01,<LOD,42529.0,24277,781.0,52612,402.0,6399,92.0,5574,78.0,49232,176.0,7459,159.0,10391,57.0,<LOD,1568.0,124,39.0,42,25.0,353,25.0,1797,43.0,85,7.0,89,29.0,831621,824.0,723,89.0,4144,52.0,59,8.0,<LOD,1.0,30,5.0,51,7.0,<LOD,3.0,66,8.0,167,10.0,1053,37.0,<LOD,7.0,187,40.0,229,52.0,<LOD,4401.0,<LOD,7651.0,449,130.0,<LOD,14796.0,<LOD,20143.0,<LOD,23.0,106,25.0,<LOD,8.0,341,20.0,2256,152.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
8_m02,<LOD,53429.0,19281,784.0,45299,387.0,2137,68.0,9386,91.0,25110,142.0,13139,165.0,8925,55.0,<LOD,2069.0,<LOD,84.0,45,26.0,249,25.0,1189,40.0,104,8.0,3783,53.0,853211,871.0,<LOD,75.0,3062,86.0,60,11.0,<LOD,1.0,29,6.0,<LOD,2.0,<LOD,3.0,82,9.0,207,10.0,695,33.0,<LOD,7.0,312,44.0,1265,64.0,229,66.0,<LOD,7915.0,<LOD,9897.0,<LOD,15140.0,1069,298.0,357,106.0,<LOD,5.0,<LOD,9.0,8521,89.0,2148,162.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
8_m03,<LOD,41635.0,17947,832.0,51504,382.0,1098,53.0,2333,57.0,12350,101.0,51185,189.0,924,41.0,<LOD,1052.0,125,39.0,49,26.0,185,24.0,440,35.0,86,7.0,436,31.0,851832,851.0,359,87.0,4655,53.0,94,10.0,<LOD,1.0,20,4.0,47,7.0,<LOD,3.0,77,8.0,169,9.0,989,37.0,<LOD,6.0,200,39.0,256,49.0,<LOD,4654.0,<LOD,7892.0,<LOD,10375.0,<LOD,16176.0,<LOD,21643.0,<LOD,22.0,<LOD,5.0,<LOD,8.0,76,14.0,2476,160.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
8_m04,<LOD,33034.0,<LOD,6328.0,<LOD,4133.0,<LOD,721.0,<LOD,1352.0,<LOD,2244.0,<LOD,5057.0,<LOD,1931.0,<LOD,312.0,<LOD,90.0,156,34.0,195,32.0,1949,53.0,114,10.0,1111,40.0,865617,374.0,38330,157.0,2554,112.0,<LOD,3.0,<LOD,2.0,<LOD,1.0,65,17.0,<LOD,3.0,<LOD,2.0,218,13.0,917,42.0,<LOD,7.0,68230,210.0,2365,93.0,274,90.0,597,162.0,<LOD,3879.0,<LOD,6091.0,<LOD,8093.0,<LOD,42.0,<LOD,6.0,<LOD,14.0,14317,123.0,2878,167.0,<LOD,13.0,<LOD,3.0,<LOD,1492.0
8_m05,<LOD,32730.0,9057,827.0,32677,320.0,<LOD,605.0,4698,64.0,14520,103.0,64407,200.0,432,42.0,<LOD,926.0,<LOD,86.0,46,26.0,231,25.0,259,34.0,111,7.0,459,31.0,864879,834.0,<LOD,73.0,2408,42.0,109,10.0,<LOD,1.0,19,5.0,46,7.0,<LOD,3.0,87,8.0,177,9.0,829,34.0,<LOD,6.0,<LOD,8.0,228,49.0,<LOD,4271.0,<LOD,7199.0,438,135.0,<LOD,14177.0,<LOD,19163.0,<LOD,20.0,<LOD,4.0,<LOD,8.0,408,23.0,3365,164.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
8_m06,<LOD,39168.0,12247,780.0,34394,327.0,734,50.0,5888,75.0,27854,135.0,39219,176.0,2144,41.0,<LOD,1242.0,122,38.0,50,26.0,227,23.0,445,34.0,116,7.0,374,31.0,866949,801.0,<LOD,74.0,3012,49.0,220,13.0,<LOD,1.0,17,5.0,40,8.0,<LOD,3.0,85,8.0,181,9.0,777,34.0,<LOD,6.0,306,39.0,300,50.0,<LOD,4955.0,<LOD,8681.0,<LOD,11268.0,<LOD,17199.0,<LOD,22907.0,<LOD,22.0,93,24.0,<LOD,8.0,833,30.0,3254,166.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
8_m07,<LOD,31383.0,<LOD,6297.0,<LOD,4587.0,<LOD,778.0,<LOD,1534.0,<LOD,2472.0,<LOD,4636.0,<LOD,1668.0,<LOD,302.0,<LOD,85.0,126,30.0,241,29.0,2475,53.0,106,10.0,779,37.0,890919,338.0,32708,149.0,5383,130.0,<LOD,3.0,<LOD,2.0,<LOD,1.0,<LOD,3.0,<LOD,3.0,<LOD,2.0,232,13.0,1067,44.0,<LOD,7.0,42738,174.0,357,75.0,<LOD,2415.0,<LOD,4282.0,<LOD,5320.0,<LOD,8155.0,<LOD,11374.0,<LOD,38.0,<LOD,6.0,<LOD,13.0,17466,136.0,5298,189.0,<LOD,14.0,<LOD,3.0,<LOD,1491.0
8_m08,<LOD,26290.0,38975,802.0,106455,481.0,6727,91.0,7394,83.0,40007,161.0,15215,170.0,24754,85.0,686,148.0,<LOD,91.0,54,26.0,243,26.0,4764,58.0,62,9.0,154,28.0,743359,809.0,1879,83.0,2149,41.0,68,10.0,<LOD,2.0,19,5.0,25,7.0,<LOD,3.0,66,8.0,142,9.0,867,33.0,<LOD,7.0,251,36.0,<LOD,12.0,188,59.0,<LOD,8088.0,<LOD,10146.0,<LOD,15709.0,<LOD,21214.0,<LOD,25.0,77,19.0,<LOD,9.0,850,29.0,4508,135.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
8_m09,<LOD,47728.0,18769,757.0,40893,367.0,1962,64.0,10108,89.0,48578,173.0,10465,158.0,1629,37.0,<LOD,1786.0,<LOD,83.0,43,25.0,165,24.0,1688,42.0,90,8.0,455,31.0,839896,814.0,14238,112.0,2056,51.0,69,12.0,<LOD,1.0,<LOD,1.0,<LOD,2.0,<LOD,3.0,<LOD,2.0,180,10.0,896,35.0,<LOD,6.0,802,44.0,272,54.0,<LOD,4504.0,341,106.0,<LOD,9575.0,929,209.0,<LOD,20811.0,<LOD,27.0,<LOD,4.0,<LOD,10.0,1924,44.0,3460,163.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
8_m10,<LOD,31822.0,13055,799.0,38608,345.0,622,50.0,11024,87.0,30538,138.0,46249,187.0,6874,54.0,<LOD,976.0,<LOD,86.0,61,27.0,603,31.0,1166,41.0,77,8.0,566,32.0,829250,798.0,10356,104.0,2032,49.0,64,11.0,<LOD,1.0,<LOD,1.0,49,8.0,<LOD,3.0,<LOD,2.0,167,9.0,1136,40.0,<LOD,6.0,2094,48.0,413,50.0,<LOD,4391.0,<LOD,7672.0,<LOD,9792.0,<LOD,15172.0,<LOD,20033.0,<LOD,28.0,71,21.0,<LOD,10.0,1952,42.0,2895,152.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
8_m11,<LOD,34451.0,12293,789.0,50284,374.0,555,48.0,4768,65.0,19614,115.0,49296,185.0,1667,42.0,<LOD,1070.0,<LOD,81.0,59,26.0,205,24.0,577,36.0,102,7.0,533,31.0,833951,800.0,13951,109.0,3881,56.0,99,11.0,<LOD,1.0,<LOD,1.0,53,8.0,<LOD,3.0,<LOD,2.0,186,9.0,867,35.0,<LOD,6.0,604,41.0,868,55.0,<LOD,4678.0,<LOD,8514.0,<LOD,10747.0,<LOD,16779.0,<LOD,22462.0,<LOD,29.0,<LOD,5.0,<LOD,10.0,1440,37.0,4046,159.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
8_m12,<LOD,33253.0,<LOD,7335.0,<LOD,4621.0,<LOD,736.0,<LOD,1566.0,<LOD,1829.0,<LOD,5466.0,<LOD,1679.0,<LOD,293.0,<LOD,84.0,111,28.0,137,27.0,1001,41.0,81,8.0,645,36.0,940045,306.0,17502,129.0,3490,92.0,103,16.0,<LOD,1.0,<LOD,1.0,60,14.0,<LOD,3.0,<LOD,2.0,217,13.0,1428,49.0,<LOD,6.0,22557,132.0,1433,80.0,<LOD,3111.0,<LOD,5522.0,<LOD,6825.0,<LOD,11055.0,<LOD,14653.0,<LOD,31.0,<LOD,5.0,<LOD,10.0,7546,92.0,3565,197.0,<LOD,15.0,<LOD,3.0,<LOD,1384.0
8_m13,<LOD,35006.0,<LOD,7243.0,<LOD,4362.0,<LOD,656.0,<LOD,1424.0,<LOD,2211.0,<LOD,5817.0,<LOD,1642.0,<LOD,290.0,<LOD,86.0,111,28.0,223,26.0,1132,41.0,112,8.0,738,36.0,936699,347.0,21900,133.0,2728,99.0,<LOD,2.0,<LOD,1.0,<LOD,1.0,63,15.0,<LOD,3.0,<LOD,2.0,238,13.0,1027,42.0,<LOD,6.0,19789,124.0,1021,76.0,<LOD,3350.0,<LOD,5733.0,577,170.0,<LOD,11594.0,<LOD,15297.0,<LOD,33.0,<LOD,5.0,<LOD,11.0,10187,105.0,3342,198.0,<LOD,15.0,<LOD,3.0,<LOD,1366.0
8_m14,<LOD,36120.0,<LOD,6200.0,<LOD,4447.0,<LOD,947.0,<LOD,1381.0,<LOD,4005.0,<LOD,4162.0,<LOD,1755.0,<LOD,296.0,<LOD,84.0,108,28.0,197,26.0,1126,42.0,93,8.0,532,35.0,938404,299.0,20357,135.0,2617,71.0,49,14.0,<LOD,1.0,32,7.0,36,12.0,<LOD,3.0,<LOD,2.0,272,13.0,582,34.0,<LOD,7.0,28584,149.0,546,77.0,<LOD,2856.0,<LOD,5086.0,<LOD,6407.0,<LOD,10026.0,<LOD,13122.0,<LOD,32.0,<LOD,5.0,<LOD,11.0,3434,65.0,2937,192.0,<LOD,15.0,<LOD,3.0,<LOD,1510.0
8_m15,<LOD,37282.0,<LOD,7314.0,<LOD,3971.0,<LOD,663.0,<LOD,1104.0,<LOD,1805.0,<LOD,5651.0,<LOD,1549.0,<LOD,282.0,157,42.0,100,27.0,87,26.0,638,38.0,70,8.0,542,35.0,950306,349.0,16720,128.0,1761,50.0,38,12.0,<LOD,1.0,26,6.0,74,10.0,<LOD,3.0,52,13.0,255,12.0,524,32.0,<LOD,6.0,23455,133.0,268,71.0,<LOD,3087.0,504,131.0,619,162.0,<LOD,10728.0,<LOD,14846.0,<LOD,27.0,<LOD,4.0,<LOD,10.0,1243,40.0,2494,197.0,<LOD,15.0,<LOD,3.0,<LOD,1367.0
